claim_id,fecha,zona,paid_loss,incurred_loss,exposure
C0111,2025-05-28,centro,399.09,458.96,0.181
C0112,2025-12-02,norte,95.54,109.87,0.587
C0113,2025-01-25,norte,1402.04,1612.35,0.764
C0114,2025-09-13,norte,2603.05,2993.51,0.518
C0115,2025-12-17,norte,3781.39,4348.60,0.336
C0116,2025-04-22,norte,1764.81,2029.53,0.097
C0117,2025-11-20,sur,4550.64,5233.24,0.099
C0118,2025-06-09,sur,8028.84,9233.16,0.345
C0119,2025-06-06,norte,6748.79,7761.11,0.143
C0120,2025-03-23,sur,1242.26,1428.60,0.343
C0121,2025-01-28,centro,2047.37,2354.47,0.221
C0122,2025-12-05,norte,3160.75,3634.86,0.562
C0123,2025-11-28,sur,1162.28,1336.62,0.264
C0124,2025-01-13,norte,3248.59,3735.88,0.287
C0125,2025-04-16,centro,3531.90,4061.68,0.553
C0126,2025-03-04,centro,452.90,520.83,0.145
C0127,2025-01-27,sur,2514.90,2892.14,0.873
C0128,2025-01-04,sur,1035.56,1190.90,0.274
C0129,2025-01-17,sur,2428.90,2793.24,0.404
C0130,2025-10-01,centro,7291.82,8385.59,0.426
C0131,2025-03-21,centro,3510.54,4037.12,0.926
C0132,2025-03-11,sur,832.44,957.31,0.630
C0133,2025-03-14,sur,779.01,895.87,0.994
C0134,2025-01-17,centro,1721.02,1979.17,0.792
C0135,2025-10-25,norte,3472.88,3993.81,0.268
C0136,2025-11-01,sur,879.23,1011.12,0.961
C0137,2025-05-08,norte,1843.29,2119.78,0.360
C0138,2025-01-18,sur,3024.95,3478.69,0.176
C0139,2025-04-25,centro,956.07,1099.49,0.944
C0140,2025-11-19,centro,2512.09,2888.91,0.925
C0141,2025-02-03,centro,2247.57,2584.70,0.698
C0142,2025-08-13,sur,3192.11,3670.93,0.455
C0143,2025-02-20,sur,1885.04,2167.80,0.359
C0144,2025-07-23,norte,857.72,986.38,0.231
C0145,2025-11-24,centro,3686.86,4239.89,0.207
C0146,2025-05-14,norte,922.48,1060.85,0.287
C0147,2025-05-16,centro,447.88,515.07,0.422
C0148,2025-07-21,norte,3514.36,4041.51,0.311
C0149,2025-12-28,sur,964.96,1109.71,0.467
C0150,2025-10-07,sur,2255.04,2593.30,0.981
